
# Surface 0 of 1 surfaces

# Curve title: "'data.txt'"

# IsoCurve 0, 50 points
# x y z type
1.2000000e+01 3.3877551e+00 2.8857681e+01 i
1.2000000e+01 3.4489796e+00 2.7202365e+01 i
1.2000000e+01 3.5102041e+00 2.5553981e+01 i
1.2000000e+01 3.5714286e+00 2.3917303e+01 i
1.2000000e+01 3.6326531e+00 2.2298561e+01 i
1.2000000e+01 3.6938776e+00 2.0706756e+01 i
1.2000000e+01 3.7551020e+00 1.9155323e+01 i
1.2000000e+01 3.8163265e+00 1.7664516e+01 i
1.2000000e+01 3.8775510e+00 1.6265442e+01 i
1.2000000e+01 3.9387755e+00 1.5008898e+01 i
1.2000000e+01 4.0000000e+00 1.4000000e+01 i

# IsoCurve 1, 50 points
# x y z type
1.1775510e+01 1.0000000e+00 7.2326079e+01 i
1.1775510e+01 1.0612245e+00 7.1460345e+01 i
1.1775510e+01 1.1224490e+00 7.0551407e+01 i
1.1775510e+01 1.1836735e+00 6.9611380e+01 i
1.1775510e+01 1.2448980e+00 6.8653277e+01 i
1.1775510e+01 1.3061224e+00 6.7686862e+01 i
1.1775510e+01 1.3673469e+00 6.6717675e+01 i
1.1775510e+01 1.4285714e+00 6.5747567e+01 i
1.1775510e+01 1.4897959e+00 6.4775665e+01 i
1.1775510e+01 1.5510204e+00 6.3799326e+01 i
1.1775510e+01 1.6122449e+00 6.2814986e+01 i
1.1775510e+01 1.6734694e+00 6.1818892e+01 i
1.1775510e+01 1.7346939e+00 6.0807755e+01 i
1.1775510e+01 1.7959184e+00 5.9779324e+01 i
1.1775510e+01 1.8571429e+00 5.8732854e+01 i
1.1775510e+01 1.9183673e+00 5.7669310e+01 i
1.1775510e+01 1.9795918e+00 5.6591015e+01 i
1.1775510e+01 2.0408163e+00 5.5500593e+01 i
1.1775510e+01 2.1020408e+00 5.4399954e+01 i
1.1775510e+01 2.1632653e+00 5.3290476e+01 i
1.1775510e+01 2.2244898e+00 5.2174070e+01 i
1.1775510e+01 2.2857143e+00 5.1053936e+01 i
1.1775510e+01 2.3469388e+00 4.9934605e+01 i
1.1775510e+01 2.4081633e+00 4.8821539e+01 i
1.1775510e+01 2.4693878e+00 4.7720567e+01 i
1.1775510e+01 2.5306122e+00 4.6637252e+01 i
1.1775510e+01 2.5918367e+00 4.5576217e+01 i
1.1775510e+01 2.6530612e+00 4.4540414e+01 i
1.1775510e+01 2.7142857e+00 4.3530335e+01 i
1.1775510e+01 2.7755102e+00 4.2543151e+01 i
1.1775510e+01 2.8367347e+00 4.1571975e+01 i
1.1775510e+01 2.8979592e+00 4.0605742e+01 i
1.1775510e+01 2.9591837e+00 3.9630923e+01 i
1.1775510e+01 3.0204082e+00 3.8636276e+01 i
1.1775510e+01 3.0816327e+00 3.7618738e+01 i
1.1775510e+01 3.1428571e+00 3.6584657e+01 i
1.1775510e+01 3.2040816e+00 3.5544939e+01 i
1.1775510e+01 3.2653061e+00 3.4509598e+01 i
1.1775510e+01 3.3265306e+00 3.3485283e+01 i
1.1775510e+01 3.3877551e+00 3.2475185e+01 i
1.1775510e+01 3.4489796e+00 3.1479959e+01 i
1.1775510e+01 3.5102041e+00 3.0498971e+01 i
1.1775510e+01 3.5714286e+00 2.9531644e+01 i
1.1775510e+01 3.6326531e+00 2.8578911e+01 i
1.1775510e+01 3.6938776e+00 2.7644806e+01 i
1.1775510e+01 3.7551020e+00 2.6738208e+01 i
1.1775510e+01 3.8163265e+00 2.5874529e+01 i
1.1775510e+01 3.8775510e+00 2.5076546e+01 i
1.1775510e+01 3.9387755e+00 2.4372213e+01 i
1.1775510e+01 4.0000000e+00 2.3786278e+01 i

# IsoCurve 2, 50 points
# x y z type
1.1551020e+01 1.0000000e+00 6.5643196e+01 i
1.1551020e+01 1.0612245e+00 6.4883880e+01 i
1.1551020e+01 1.1224490e+00 6.4170119e+01 i
1.1551020e+01 1.1836735e+00 6.3497755e+01 i
1.1551020e+01 1.2448980e+00 6.2860720e+01 i
1.1551020e+01 1.3061224e+00 6.2251259e+01 i
1.1551020e+01 1.3673469e+00 6.1660299e+01 i
1.1551020e+01 1.4285714e+00 6.1077879e+01 i
1.1551020e+01 1.4897959e+00 6.0493575e+01 i
1.1551020e+01 1.5510204e+00 5.9896868e+01 i
1.1551020e+01 1.6122449e+00 5.9277454e+01 i
1.1551020e+01 1.6734694e+00 5.8625520e+01 i
1.1551020e+01 1.7346939e+00 5.7932050e+01 i
1.1551020e+01 1.7959184e+00 5.7189176e+01 i
1.1551020e+01 1.8571429e+00 5.6390612e+01 i
1.1551020e+01 1.9183673e+00 5.5532144e+01 i
1.1551020e+01 1.9795918e+00 5.4612091e+01 i
1.1551020e+01 2.0408163e+00 5.3631659e+01 i
1.1551020e+01 2.1020408e+00 5.2595087e+01 i
1.1551020e+01 2.1632653e+00 5.1509524e+01 i
1.1551020e+01 2.2244898e+00 5.0384659e+01 i
1.1551020e+01 2.2857143e+00 4.9232172e+01 i
1.1551020e+01 2.3469388e+00 4.8065096e+01 i
1.1551020e+01 2.4081633e+00 4.6897201e+01 i
1.1551020e+01 2.4693878e+00 4.5742442e+01 i
1.1551020e+01 2.5306122e+00 4.4614503e+01 i
1.1551020e+01 2.5918367e+00 4.3526411e+01 i
1.1551020e+01 2.6530612e+00 4.2490194e+01 i
1.1551020e+01 2.7142857e+00 4.1516567e+01 i
1.1551020e+01 2.7755102e+00 4.0614630e+01 i
1.1551020e+01 2.8367347e+00 3.9791605e+01 i
1.1551020e+01 2.8979592e+00 3.9052662e+01 i
1.1551020e+01 2.9591837e+00 3.8400878e+01 i
1.1551020e+01 3.0204082e+00 3.7837305e+01 i
1.1551020e+01 3.0816327e+00 3.7361083e+01 i
1.1551020e+01 3.1428571e+00 3.6969486e+01 i
1.1551020e+01 3.2040816e+00 3.6657885e+01 i
1.1551020e+01 3.2653061e+00 3.6419723e+01 i
1.1551020e+01 3.3265306e+00 3.6246592e+01 i
1.1551020e+01 3.3877551e+00 3.6128452e+01 i
1.1551020e+01 3.4489796e+00 3.6053977e+01 i
1.1551020e+01 3.5102041e+00 3.6010971e+01 i
1.1551020e+01 3.5714286e+00 3.5986821e+01 i
1.1551020e+01 3.6326531e+00 3.5968973e+01 i
1.1551020e+01 3.6938776e+00 3.5945422e+01 i
1.1551020e+01 3.7551020e+00 3.5905188e+01 i
1.1551020e+01 3.8163265e+00 3.5838689e+01 i
1.1551020e+01 3.8775510e+00 3.5737931e+01 i
1.1551020e+01 3.9387755e+00 3.5596391e+01 i
1.1551020e+01 4.0000000e+00 3.5408636e+01 i

# IsoCurve 3, 50 points
# x y z type
1.1326531e+01 1.0000000e+00 5.9138608e+01 i
1.1326531e+01 1.0612245e+00 5.8469032e+01 i
1.1326531e+01 1.1224490e+00 5.7943047e+01 i
1.1326531e+01 1.1836735e+00 5.7540082e+01 i
1.1326531e+01 1.2448980e+00 5.7232677e+01 i
1.1326531e+01 1.3061224e+00 5.6991901e+01 i
1.1326531e+01 1.3673469e+00 5.6790700e+01 i
1.1326531e+01 1.4285714e+00 5.6605206e+01 i
1.1326531e+01 1.4897959e+00 5.6414754e+01 i
1.1326531e+01 1.5510204e+00 5.6201276e+01 i
1.1326531e+01 1.6122449e+00 5.5948482e+01 i
1.1326531e+01 1.6734694e+00 5.5641040e+01 i
1.1326531e+01 1.7346939e+00 5.5263907e+01 i
1.1326531e+01 1.7959184e+00 5.4801995e+01 i
1.1326531e+01 1.8571429e+00 5.4240474e+01 i
1.1326531e+01 1.9183673e+00 5.3566096e+01 i
1.1326531e+01 1.9795918e+00 5.2769730e+01 i
1.1326531e+01 2.0408163e+00 5.1849476e+01 i
1.1326531e+01 2.1020408e+00 5.0812683e+01 i
1.1326531e+01 2.1632653e+00 4.9675416e+01 i
1.1326531e+01 2.2244898e+00 4.8459690e+01 i
1.1326531e+01 2.2857143e+00 4.7190242e+01 i
1.1326531e+01 2.3469388e+00 4.5892185e+01 i
1.1326531e+01 2.4081633e+00 4.4589844e+01 i
1.1326531e+01 2.4693878e+00 4.3306455e+01 i
1.1326531e+01 2.5306122e+00 4.2064341e+01 i
1.1326531e+01 2.5918367e+00 4.0885327e+01 i
1.1326531e+01 2.6530612e+00 3.9791230e+01 i
1.1326531e+01 2.7142857e+00 3.8804318e+01 i
1.1326531e+01 2.7755102e+00 3.7947560e+01 i
1.1326531e+01 2.8367347e+00 3.7244346e+01 i
1.1326531e+01 2.8979592e+00 3.6717197e+01 i
1.1326531e+01 2.9591837e+00 3.6385057e+01 i
1.1326531e+01 3.0204082e+00 3.6259476e+01 i
1.1326531e+01 3.0816327e+00 3.6341352e+01 i
1.1326531e+01 3.1428571e+00 3.6620347e+01 i
1.1326531e+01 3.2040816e+00 3.7077413e+01 i
1.1326531e+01 3.2653061e+00 3.7688606e+01 i
1.1326531e+01 3.3265306e+00 3.8428183e+01 i
1.1326531e+01 3.3877551e+00 3.9270211e+01 i
1.1326531e+01 3.4489796e+00 4.0188953e+01 i
1.1326531e+01 3.5102041e+00 4.1158495e+01 i
1.1326531e+01 3.5714286e+00 4.2151995e+01 i
1.1326531e+01 3.6326531e+00 4.3140757e+01 i
1.1326531e+01 3.6938776e+00 4.4093297e+01 i
1.1326531e+01 3.7551020e+00 4.4974648e+01 i
1.1326531e+01 3.8163265e+00 4.5746386e+01 i
1.1326531e+01 3.8775510e+00 4.6368200e+01 i
1.1326531e+01 3.9387755e+00 4.6801942e+01 i
1.1326531e+01 4.0000000e+00 4.7018190e+01 i

# IsoCurve 4, 50 points
# x y z type
1.1102041e+01 1.0000000e+00 5.4105901e+01 i
1.1102041e+01 1.0612245e+00 5.3528433e+01 i
1.1102041e+01 1.1224490e+00 5.3232308e+01 i
1.1102041e+01 1.1836735e+00 5.3117587e+01 i
1.1102041e+01 1.2448980e+00 5.3110085e+01 i
1.1102041e+01 1.3061224e+00 5.3159963e+01 i
1.1102041e+01 1.3673469e+00 5.3232572e+01 i
1.1102041e+01 1.4285714e+00 5.3302750e+01 i
1.1102041e+01 1.4897959e+00 5.3351428e+01 i
1.1102041e+01 1.5510204e+00 5.3363359e+01 i
1.1102041e+01 1.6122449e+00 5.3325428e+01 i
1.1102041e+01 1.6734694e+00 5.3225176e+01 i
1.1102041e+01 1.7346939e+00 5.3049321e+01 i
1.1102041e+01 1.7959184e+00 5.2781935e+01 i
1.1102041e+01 1.8571429e+00 5.2401772e+01 i
1.1102041e+01 1.9183673e+00 5.1877920e+01 i
1.1102041e+01 1.9795918e+00 5.1165684e+01 i
1.1102041e+01 2.0408163e+00 5.0225481e+01 i
1.1102041e+01 2.1020408e+00 4.9076511e+01 i
1.1102041e+01 2.1632653e+00 4.7780416e+01 i
1.1102041e+01 2.2244898e+00 4.6392206e+01 i
1.1102041e+01 2.2857143e+00 4.4953579e+01 i
1.1102041e+01 2.3469388e+00 4.3497851e+01 i
1.1102041e+01 2.4081633e+00 4.2053473e+01 i
1.1102041e+01 2.4693878e+00 4.0646075e+01 i
1.1102041e+01 2.5306122e+00 3.9299775e+01 i
1.1102041e+01 2.5918367e+00 3.8038179e+01 i
1.1102041e+01 2.6530612e+00 3.6885306e+01 i
1.1102041e+01 2.7142857e+00 3.5866646e+01 i
1.1102041e+01 2.7755102e+00 3.5010642e+01 i
1.1102041e+01 2.8367347e+00 3.4351090e+01 i
1.1102041e+01 2.8979592e+00 3.3931358e+01 i
1.1102041e+01 2.9591837e+00 3.3810379e+01 i
1.1102041e+01 3.0204082e+00 3.4054356e+01 i
1.1102041e+01 3.0816327e+00 3.4676280e+01 i
1.1102041e+01 3.1428571e+00 3.5615808e+01 i
1.1102041e+01 3.2040816e+00 3.6805389e+01 i
1.1102041e+01 3.2653061e+00 3.8193605e+01 i
1.1102041e+01 3.3265306e+00 3.9740212e+01 i
1.1102041e+01 3.3877551e+00 4.1410942e+01 i
1.1102041e+01 3.4489796e+00 4.3174401e+01 i
1.1102041e+01 3.5102041e+00 4.5000056e+01 i
1.1102041e+01 3.5714286e+00 4.6856663e+01 i
1.1102041e+01 3.6326531e+00 4.8710731e+01 i
1.1102041e+01 3.6938776e+00 5.0524718e+01 i
1.1102041e+01 3.7551020e+00 5.2254533e+01 i
1.1102041e+01 3.8163265e+00 5.3845614e+01 i
1.1102041e+01 3.8775510e+00 5.5226176e+01 i
1.1102041e+01 3.9387755e+00 5.6296166e+01 i
1.1102041e+01 4.0000000e+00 5.6925681e+01 i

# IsoCurve 5, 50 points
# x y z type
1.0877551e+01 1.0000000e+00 5.3649684e+01 i
1.0877551e+01 1.0612245e+00 5.2993234e+01 i
1.0877551e+01 1.1224490e+00 5.2587551e+01 i
1.0877551e+01 1.1836735e+00 5.2348488e+01 i
1.0877551e+01 1.2448980e+00 5.2207271e+01 i
1.0877551e+01 1.3061224e+00 5.2116294e+01 i
1.0877551e+01 1.3673469e+00 5.2042832e+01 i
1.0877551e+01 1.4285714e+00 5.1963799e+01 i
1.0877551e+01 1.4897959e+00 5.1862272e+01 i
1.0877551e+01 1.5510204e+00 5.1725084e+01 i
1.0877551e+01 1.6122449e+00 5.1540990e+01 i
1.0877551e+01 1.6734694e+00 5.1299107e+01 i
1.0877551e+01 1.7346939e+00 5.0987372e+01 i
1.0877551e+01 1.7959184e+00 5.0590723e+01 i
1.0877551e+01 1.8571429e+00 5.0088627e+01 i
1.0877551e+01 1.9183673e+00 4.9451747e+01 i
1.0877551e+01 1.9795918e+00 4.8641265e+01 i
1.0877551e+01 2.0408163e+00 4.7627657e+01 i
1.0877551e+01 2.1020408e+00 4.6427783e+01 i
1.0877551e+01 2.1632653e+00 4.5094395e+01 i
1.0877551e+01 2.2244898e+00 4.3679854e+01 i
1.0877551e+01 2.2857143e+00 4.2226475e+01 i
1.0877551e+01 2.3469388e+00 4.0769098e+01 i
1.0877551e+01 2.4081633e+00 3.9338080e+01 i
1.0877551e+01 2.4693878e+00 3.7961299e+01 i
1.0877551e+01 2.5306122e+00 3.6665472e+01 i
1.0877551e+01 2.5918367e+00 3.5477147e+01 i
1.0877551e+01 2.6530612e+00 3.4423555e+01 i
1.0877551e+01 2.7142857e+00 3.3533559e+01 i
1.0877551e+01 2.7755102e+00 3.2838938e+01 i
1.0877551e+01 2.8367347e+00 3.2376426e+01 i
1.0877551e+01 2.8979592e+00 3.2190963e+01 i
1.0877551e+01 2.9591837e+00 3.2338412e+01 i
1.0877551e+01 3.0204082e+00 3.2873293e+01 i
1.0877551e+01 3.0816327e+00 3.3803795e+01 i
1.0877551e+01 3.1428571e+00 3.5078711e+01 i
1.0877551e+01 3.2040816e+00 3.6633079e+01 i
1.0877551e+01 3.2653061e+00 3.8411442e+01 i
1.0877551e+01 3.3265306e+00 4.0367234e+01 i
1.0877551e+01 3.3877551e+00 4.2459018e+01 i
1.0877551e+01 3.4489796e+00 4.4647836e+01 i
1.0877551e+01 3.5102041e+00 4.6895436e+01 i
1.0877551e+01 3.5714286e+00 4.9162871e+01 i
1.0877551e+01 3.6326531e+00 5.1409127e+01 i
1.0877551e+01 3.6938776e+00 5.3589448e+01 i
1.0877551e+01 3.7551020e+00 5.5652993e+01 i
1.0877551e+01 3.8163265e+00 5.7539177e+01 i
1.0877551e+01 3.8775510e+00 5.9171855e+01 i
1.0877551e+01 3.9387755e+00 6.0452125e+01 i
1.0877551e+01 4.0000000e+00 6.1265858e+01 i

# IsoCurve 6, 50 points
# x y z type
1.0653061e+01 1.0000000e+00 5.7289235e+01 i
1.0653061e+01 1.0612245e+00 5.6421713e+01 i
1.0653061e+01 1.1224490e+00 5.5636375e+01 i
1.0653061e+01 1.1836735e+00 5.4920296e+01 i
1.0653061e+01 1.2448980e+00 5.4255948e+01 i
1.0653061e+01 1.3061224e+00 5.3625239e+01 i
1.0653061e+01 1.3673469e+00 5.3011954e+01 i
1.0653061e+01 1.4285714e+00 5.2402527e+01 i
1.0653061e+01 1.4897959e+00 5.1785734e+01 i
1.0653061e+01 1.5510204e+00 5.1151902e+01 i
1.0653061e+01 1.6122449e+00 5.0491991e+01 i
1.0653061e+01 1.6734694e+00 4.9796784e+01 i
1.0653061e+01 1.7346939e+00 4.9056320e+01 i
1.0653061e+01 1.7959184e+00 4.8259734e+01 i
1.0653061e+01 1.8571429e+00 4.7395757e+01 i
1.0653061e+01 1.9183673e+00 4.6454141e+01 i
1.0653061e+01 1.9795918e+00 4.5428090e+01 i
1.0653061e+01 2.0408163e+00 4.4317050e+01 i
1.0653061e+01 2.1020408e+00 4.3128568e+01 i
1.0653061e+01 2.1632653e+00 4.1878110e+01 i
1.0653061e+01 2.2244898e+00 4.0587077e+01 i
1.0653061e+01 2.2857143e+00 3.9280337e+01 i
1.0653061e+01 2.3469388e+00 3.7984372e+01 i
1.0653061e+01 2.4081633e+00 3.6726364e+01 i
1.0653061e+01 2.4693878e+00 3.5534003e+01 i
1.0653061e+01 2.5306122e+00 3.4435682e+01 i
1.0653061e+01 2.5918367e+00 3.3460806e+01 i
1.0653061e+01 2.6530612e+00 3.2640009e+01 i
1.0653061e+01 2.7142857e+00 3.2005104e+01 i
1.0653061e+01 2.7755102e+00 3.1588539e+01 i
1.0653061e+01 2.8367347e+00 3.1422111e+01 i
1.0653061e+01 2.8979592e+00 3.1534577e+01 i
1.0653061e+01 2.9591837e+00 3.1948082e+01 i
1.0653061e+01 3.0204082e+00 3.2673942e+01 i
1.0653061e+01 3.0816327e+00 3.3709347e+01 i
1.0653061e+01 3.1428571e+00 3.5036708e+01 i
1.0653061e+01 3.2040816e+00 3.6625982e+01 i
1.0653061e+01 3.2653061e+00 3.8438534e+01 i
1.0653061e+01 3.3265306e+00 4.0430785e+01 i
1.0653061e+01 3.3877551e+00 4.2556733e+01 i
1.0653061e+01 3.4489796e+00 4.4769304e+01 i
1.0653061e+01 3.5102041e+00 4.7020839e+01 i
1.0653061e+01 3.5714286e+00 4.9263035e+01 i
1.0653061e+01 3.6326531e+00 5.1446609e+01 i
1.0653061e+01 3.6938776e+00 5.3520958e+01 i
1.0653061e+01 3.7551020e+00 5.5434132e+01 i
1.0653061e+01 3.8163265e+00 5.7133647e+01 i
1.0653061e+01 3.8775510e+00 5.8568782e+01 i
1.0653061e+01 3.9387755e+00 5.9694995e+01 i
1.0653061e+01 4.0000000e+00 6.0480127e+01 i

# IsoCurve 7, 50 points
# x y z type
1.0428571e+01 1.0000000e+00 6.1804162e+01 i
1.0428571e+01 1.0612245e+00 6.0724440e+01 i
1.0428571e+01 1.1224490e+00 5.9587246e+01 i
1.0428571e+01 1.1836735e+00 5.8402573e+01 i
1.0428571e+01 1.2448980e+00 5.7183307e+01 i
1.0428571e+01 1.3061224e+00 5.5942898e+01 i
1.0428571e+01 1.3673469e+00 5.4693525e+01 i
1.0428571e+01 1.4285714e+00 5.3445028e+01 i
1.0428571e+01 1.4897959e+00 5.2204492e+01 i
1.0428571e+01 1.5510204e+00 5.0976254e+01 i
1.0428571e+01 1.6122449e+00 4.9762150e+01 i
1.0428571e+01 1.6734694e+00 4.8561903e+01 i
1.0428571e+01 1.7346939e+00 4.7373605e+01 i
1.0428571e+01 1.7959184e+00 4.6194297e+01 i
1.0428571e+01 1.8571429e+00 4.5020642e+01 i
1.0428571e+01 1.9183673e+00 4.3849663e+01 i
1.0428571e+01 1.9795918e+00 4.2679478e+01 i
1.0428571e+01 2.0408163e+00 4.1509953e+01 i
1.0428571e+01 2.1020408e+00 4.0343185e+01 i
1.0428571e+01 2.1632653e+00 3.9183793e+01 i
1.0428571e+01 2.2244898e+00 3.8039010e+01 i
1.0428571e+01 2.2857143e+00 3.6918663e+01 i
1.0428571e+01 2.3469388e+00 3.5835122e+01 i
1.0428571e+01 2.4081633e+00 3.4803305e+01 i
1.0428571e+01 2.4693878e+00 3.3840778e+01 i
1.0428571e+01 2.5306122e+00 3.2967936e+01 i
1.0428571e+01 2.5918367e+00 3.2208185e+01 i
1.0428571e+01 2.6530612e+00 3.1587971e+01 i
1.0428571e+01 2.7142857e+00 3.1136467e+01 i
1.0428571e+01 2.7755102e+00 3.0884615e+01 i
1.0428571e+01 2.8367347e+00 3.0863252e+01 i
1.0428571e+01 2.8979592e+00 3.1100111e+01 i
1.0428571e+01 2.9591837e+00 3.1615895e+01 i
1.0428571e+01 3.0204082e+00 3.2420198e+01 i
1.0428571e+01 3.0816327e+00 3.3508596e+01 i
1.0428571e+01 3.1428571e+00 3.4862074e+01 i
1.0428571e+01 3.2040816e+00 3.6449003e+01 i
1.0428571e+01 3.2653061e+00 3.8228728e+01 i
1.0428571e+01 3.3265306e+00 4.0155421e+01 i
1.0428571e+01 3.3877551e+00 4.2181186e+01 i
1.0428571e+01 3.4489796e+00 4.4258082e+01 i
1.0428571e+01 3.5102041e+00 4.6339168e+01 i
1.0428571e+01 3.5714286e+00 4.8378903e+01 i
1.0428571e+01 3.6326531e+00 5.0333233e+01 i
1.0428571e+01 3.6938776e+00 5.2159701e+01 i
1.0428571e+01 3.7551020e+00 5.3817856e+01 i
1.0428571e+01 3.8163265e+00 5.5270189e+01 i
1.0428571e+01 3.8775510e+00 5.6483716e+01 i
1.0428571e+01 3.9387755e+00 5.7432134e+01 i
1.0428571e+01 4.0000000e+00 5.8098145e+01 i

# IsoCurve 8, 50 points
# x y z type
1.0204082e+01 1.0000000e+00 6.5446212e+01 i
1.0204082e+01 1.0612245e+00 6.4126508e+01 i
1.0204082e+01 1.1224490e+00 6.2589500e+01 i
1.0204082e+01 1.1836735e+00 6.0892021e+01 i
1.0204082e+01 1.2448980e+00 5.9095726e+01 i
1.0204082e+01 1.3061224e+00 5.7253243e+01 i
1.0204082e+01 1.3673469e+00 5.5405307e+01 i
1.0204082e+01 1.4285714e+00 5.3582134e+01 i
1.0204082e+01 1.4897959e+00 5.1805575e+01 i
1.0204082e+01 1.5510204e+00 5.0091034e+01 i
1.0204082e+01 1.6122449e+00 4.8448969e+01 i
1.0204082e+01 1.6734694e+00 4.6886061e+01 i
1.0204082e+01 1.7346939e+00 4.5406135e+01 i
1.0204082e+01 1.7959184e+00 4.4010917e+01 i
1.0204082e+01 1.8571429e+00 4.2700673e+01 i
1.0204082e+01 1.9183673e+00 4.1474658e+01 i
1.0204082e+01 1.9795918e+00 4.0331212e+01 i
1.0204082e+01 2.0408163e+00 3.9267336e+01 i
1.0204082e+01 2.1020408e+00 3.8278257e+01 i
1.0204082e+01 2.1632653e+00 3.7357943e+01 i
1.0204082e+01 2.2244898e+00 3.6500326e+01 i
1.0204082e+01 2.2857143e+00 3.5700306e+01 i
1.0204082e+01 2.3469388e+00 3.4954354e+01 i
1.0204082e+01 2.4081633e+00 3.4260984e+01 i
1.0204082e+01 2.4693878e+00 3.3621292e+01 i
1.0204082e+01 2.5306122e+00 3.3039663e+01 i
1.0204082e+01 2.5918367e+00 3.2524696e+01 i
1.0204082e+01 2.6530612e+00 3.2090405e+01 i
1.0204082e+01 2.7142857e+00 3.1757748e+01 i
1.0204082e+01 2.7755102e+00 3.1556499e+01 i
1.0204082e+01 2.8367347e+00 3.1527086e+01 i
1.0204082e+01 2.8979592e+00 3.1720792e+01 i
1.0204082e+01 2.9591837e+00 3.2193578e+01 i
1.0204082e+01 3.0204082e+00 3.2986888e+01 i
1.0204082e+01 3.0816327e+00 3.4101563e+01 i
1.0204082e+01 3.1428571e+00 3.5492321e+01 i
1.0204082e+01 3.2040816e+00 3.7090109e+01 i
1.0204082e+01 3.2653061e+00 3.8825387e+01 i
1.0204082e+01 3.3265306e+00 4.0637886e+01 i
1.0204082e+01 3.3877551e+00 4.2477641e+01 i
1.0204082e+01 3.4489796e+00 4.4303214e+01 i
1.0204082e+01 3.5102041e+00 4.6079570e+01 i
1.0204082e+01 3.5714286e+00 4.7776205e+01 i
1.0204082e+01 3.6326531e+00 4.9365572e+01 i
1.0204082e+01 3.6938776e+00 5.0821731e+01 i
1.0204082e+01 3.7551020e+00 5.2119126e+01 i
1.0204082e+01 3.8163265e+00 5.3231506e+01 i
1.0204082e+01 3.8775510e+00 5.4131321e+01 i
1.0204082e+01 3.9387755e+00 5.4790886e+01 i
1.0204082e+01 4.0000000e+00 5.5187889e+01 i

# IsoCurve 9, 50 points
# x y z type
9.9795918e+00 1.0000000e+00 6.5708612e+01 i
9.9795918e+00 1.0612245e+00 6.4073619e+01 i
9.9795918e+00 1.1224490e+00 6.2104237e+01 i
9.9795918e+00 1.1836735e+00 5.9973742e+01 i
9.9795918e+00 1.2448980e+00 5.7771384e+01 i
9.9795918e+00 1.3061224e+00 5.5557152e+01 i
9.9795918e+00 1.3673469e+00 5.3375097e+01 i
9.9795918e+00 1.4285714e+00 5.1258927e+01 i
9.9795918e+00 1.4897959e+00 4.9234968e+01 i
9.9795918e+00 1.5510204e+00 4.7323930e+01 i
9.9795918e+00 1.6122449e+00 4.5542034e+01 i
9.9795918e+00 1.6734694e+00 4.3901743e+01 i
9.9795918e+00 1.7346939e+00 4.2412248e+01 i
9.9795918e+00 1.7959184e+00 4.1079792e+01 i
9.9795918e+00 1.8571429e+00 3.9907959e+01 i
9.9795918e+00 1.9183673e+00 3.8898072e+01 i
9.9795918e+00 1.9795918e+00 3.8050354e+01 i
9.9795918e+00 2.0408163e+00 3.7367221e+01 i
9.9795918e+00 2.1020408e+00 3.6835326e+01 i
9.9795918e+00 2.1632653e+00 3.6434073e+01 i
9.9795918e+00 2.2244898e+00 3.6145230e+01 i
9.9795918e+00 2.2857143e+00 3.5950271e+01 i
